,for_summing_by_experiments,RefID,PDF_retrieved,Reviewer,Approach_goal,Continent,Country_Province,Climate,study_location,Water_body,Primary_Threat_Identity,Salt_Iontype_Conductivity,State_Region,Physiographic_region,paper_focal_taxa,Taxonomic_classification,Specific_taxa,Level_ecological_organization,specific_response_metric,X20,Broader_response_categories,direction_effect,mean_control,mean_treatment,Life_stage,Units_response,background_concentration,Minimum_concentration_original,Maximum_concentration_original,Units_salt_concentration_original,Acute_Chronic,Duration_exposure,stats_direction_effect,Statistical_Analysis,mean_control_1,mean_treatment_1,Beta_estimate,standard_deviation,lower_CI,upper_CI,standard_error_beta,Correlation_Regression,p_values,Raw_values_response,Rate of change in salt (if applicaple),"Timing of exposure (e.g., season (winter, summer...), continuous)",Frequency_of_exposure,number_treatments_categories,number_replicates,number_per_replicate,Temperature,Notes on effect,Take home point,Author,Year,Paper Title,Journal,Extra notes,DataID,Measurement,SaltUnits,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm
46,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, temperature, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,EC20 survival,toxicological,Effect concentration,NA,NA,NA,juveniles,mg K/L,1.1,1.1,103,mg K / L,chronic,28,NA,Toxicity Relationship Analysis Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics.,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",3003,KCl,mg/L,NA,NA,1.1,103
47,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,EC20 survival,toxicological,Effect concentration,NA,NA,NA,juveniles,mg K/L,1.1,1.1,103,mg K / L,chronic,28,NA,Toxicity Relationship Analysis Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",3004,KCl,mg/L,NA,NA,1.1,103
1,1,7,yes,Amber,Lab Based tesing ion toxicity,North Amercia,United States,temperate,Lab,aquaria,multiple: anthropogenic,KCl,Lake Superior,Lake Shore,Zooplankton,Zooplankton,Ceriodaphnia dubia,Population,LC50,toxicological,Effect concentration,NA,NA,NA,neonates,LC50,NA,not given,not given,mmol,chronic,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not given,3.58,sudden,continous,every 2 days,8,6,10,24.6,NA,toxicity on daphnia,Mount et al.,2018,Chronic Toxicty of Major Ion salts and their mixtures to Ceriodaphnia dubia,"Environmental Toxicology and Chemistry, Vol 38",NA,57,KCl,mmol,NA,NA,NA,NA
49,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,potassium,Colorado,NA,mixed,Zooplankton,Ceriodaphnia dubia,population,survival,survival,Mortality/Survival,negative,NA,NA,neonate,percent,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,negative,regression,NA,NA,-0.0299,NA,not transcribed,not transcribed,NA,NA,NA,NA,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3013,K+,mg/L,NA,NA,220,10000
50,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,potassium,Colorado,NA,mixed,Zooplankton,Daphnia magna,population,survival,survival,Mortality/Survival,negative,NA,NA,neonate,percent,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,negative,regression,NA,NA,-0.0185,NA,not transcribed,not transcribed,NA,NA,NA,NA,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3018,K+,mg/L,NA,NA,220,10000
54,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg K2SO4/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,770,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3067,K2SO4,mg/L,NA,NA,220,10000
55,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KCl/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,630,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3072,KCl,mg/L,NA,NA,220,10000
56,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KHCO3/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,630,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3076,KHCO3,mg/L,NA,NA,220,10000
57,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KCl/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,580,880,NA,NA,NA,740,NA,NA,steady,not stated (varies by salt),5,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3110,KCl,mg/L,NA,NA,220,10000
58,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg K2SO4/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,670,1170,NA,NA,NA,850,NA,NA,steady,not stated (varies by salt),4,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3111,K2SO4,mg/L,NA,NA,220,10000
59,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,24-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KHCO3/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,440,880,NA,NA,NA,670,NA,NA,steady,not stated (varies by salt),4,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3112,KHCO3,mg/L,NA,NA,220,10000
60,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,48 hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KCl/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,440,880,NA,NA,NA,660,NA,NA,steady,not stated (varies by salt),5,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3140,KCl,mg/L,NA,NA,220,10000
61,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,48 hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg K2SO4/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,580,880,NA,NA,NA,720,NA,NA,steady,not stated (varies by salt),4,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3141,K2SO4,mg/L,NA,NA,220,10000
62,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Zooplankton,Daphnia Magna,population,48 hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KHCO3/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,380,820,NA,NA,NA,650,NA,NA,steady,not stated (varies by salt),4,5,20,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3142,KHCO3,mg/L,NA,NA,220,10000
66,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,48-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg K2SO4/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,680,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3211,K2SO4,mg/L,NA,NA,220,10000
67,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,48-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KCl/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,630,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3216,KCl,mg/L,NA,NA,220,10000
68,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Zooplankton,Ceriodapnia dubia,population,48-hr LC50,toxicological,Effect concentration,NA,NA,NA,neonate,mg KHCO3/L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,not transcribed,not transcribed,NA,NA,NA,630,NA,NA,steady,not stated (varies by salt),2,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion. Comparative salt sensitivity of three species: C. dubia>D. magna>P.promelas",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3220,KHCO3,mg/L,NA,NA,220,10000
90,1,469,yes,Sally,correlation among water chemistry paramaters and zooplankton abundance,Europe,Turkey,Mediterranean,Field,lake,urbanization,potassium,Antakya city,Lake Golbasi,Zooplankton,Zooplankton,Zooplankton,assemblage,density,assemblage size,Assemblage metrics,positive,not given,not given,mixed,no. L,NA,1.3,3.05,mg/L,chronic,Lifetime,positive,Spearman Rank Correlation,not given,not given,not provided,NA,NA,NA,not provided,0.84,<0.5,NA,NA,monthly,NA,NA,NA,NA,NA,zooplanktonton abundance increased with salts,NA,A. Bozkurt and Y. Tepe,2011,ZOOPLANKTON COMPOSITION AND WATER QUALITY OF LAKE GOLBASI (HATAY-TURKEY),Fresenius Environmental Bulletin,NA,4699,K+,mg/L,NA,NA,1.3,3.05
91,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,individual,growth,body size,Body size/Growth/Development,no effect,2.25,2.3,neonate,mm,NA,0,11,mg/L,chronic,70,no effect,ANOVA,2.25,2.3,NA,NA,NA,NA,NA,NA,>0.05,NA,NA,NA,water change every 2 days,6,10,1,25,growth was unrelated to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4742,K+,mg/L,NA,NA,0,11
92,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,individual,length,body size,Body size/Growth/Development,no effect,1.68,1.62,neonate,mm,NA,0,11,mg/L,chronic,70,no effect,ANOVA,1.68,1.62,NA,NA,NA,NA,NA,NA,>0.05,NA,NA,NA,water change every 2 days,6,10,1,25,primipara length was unrelated to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4744,K+,mg/L,NA,NA,0,11
93,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,longevity,life span,Body condition/Size/Development,negative,50,28,neonate,days,NA,0,11,mg/L,chronic,70,negative,ANOVA,50,28,NA,NA,NA,NA,NA,NA,<0.05,NA,NA,NA,water change every 2 days,6,10,1,25,longevity was negatively related to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4746,K+,mg/L,NA,NA,0,11
94,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,age,lifespan,Body condition/Size/Development,positive,8.5,11,neonate,days,NA,0,11,mg/L,chronic,70,positive,ANOVA,8.5,11,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,water change every 2 days,6,10,1,25,primipara age was positively related to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4748,K+,mg/L,NA,NA,0,11
95,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,Reproduction,reproduction,Reproduction/Recruitment,negative,18,9,neonate,number of neonates/female,NA,0,11,mg/L,chronic,70,negative,ANOVA,18,9,NA,NA,NA,NA,NA,NA,<0.05,NA,NA,NA,water change every 2 days,6,10,1,25,number of neonates was negatively related to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4753,K+,mg/L,NA,NA,0,11
96,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,Reproduction,reproduction,Reproduction/Recruitment,negative,19,14,neonate,number of eggs/female,NA,0,11,mg/L,chronic,70,negative,ANOVA,19,14,NA,NA,NA,NA,NA,NA,>0.05,NA,NA,NA,water change every 2 days,6,10,1,25,number of eggs was unrelated to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4754,K+,mg/L,NA,NA,0,11
97,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,Reproduction,reproduction,Reproduction/Recruitment,negative,2,1.61,neonate,number of eggs/female,NA,0,11,mg/L,chronic,70,negative,ANOVA,2,1.61,NA,NA,NA,NA,NA,NA,>0.05,NA,NA,NA,water change every 2 days,6,10,1,25,number of eggs was unrelated to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4755,K+,mg/L,NA,NA,0,11
98,1,477,yes,Rich,lab study evalauting the effect K on zooplankton populations,South America,Brazil,tropical,Lab,beaker,multiple: anthropogenic,potassium,São Paulo State,Óleo Lake (source),Zooplankton,Zooplankton,Pseudosida ramosa,Population,Reproduction,reproduction,Reproduction/Recruitment,negative,2,1.3,neonate,number of neonates/female,NA,0,11,mg/L,chronic,70,no effect,ANOVA,2,1.3,NA,NA,NA,NA,NA,NA,>0.05,NA,NA,NA,water change every 2 days,6,10,1,25,number of neonates was unrelated to potassium concentrations,NA,Freitas and Rocha,2012,Effects of sodium and potassium on life history parameters of freshwater cladoceran Pseudosida ramosa,Journal of the Brazilian Society of Ecotoxicology,NA,4756,K+,mg/L,NA,NA,0,11
